"Jul 10 2025",,,
Company,Gross,Net,Corp
"Universal City Studios LLC","$5.49","$5.49","EML"
"Walt Disney Pictures","$42.36","$42.36","LBI"
"Universal City Studios LLC","$9.24","$9.24","EML"
"Universal City Studios LLC","$7.42","$4.65","LehBod"
"Metro-Goldwyn-Mayer Pictures Inc.","$19.81","$19.81","EML"
"Universal City Studios LLC","$0.50","$0.50","EML"
"Universal City Studios LLC","$3,191.42","$3,191.42","LBI"
"Universal City Studios LLC","$16.90","$16.90","EML"
"Universal City Studios LLC","$11.22","$11.22","LBI"
"Universal City Studios LLC","$7.26","$7.26","EML"
"Universal City Studios LLC","$10.00","$10.00","EML"
"Universal City Studios LLC","$23.63","$23.63","LBI"
"Universal City Studios LLC","$29.03","$29.03","EML"
"Universal City Studios LLC","$21.37","$21.37","EML"
"Walt Disney Pictures","$29.33","$29.33","EML"
"Walt Disney Pictures","$1,190.51","$1,190.51","EML"
"Walt Disney Pictures","$35.90","$22.44","LehBod"
"Walt Disney Pictures","$1,204.19","$1,204.19","LBI"
,,"$1,339.44", EML
,,"$4,472.82", LBI
,,"$27.09", LehBod
